count,temp,humidity,wind_speed,visibility,dew_point_temp,solar_radiation,rainfall,snowfall,seasons,holiday,functioning_day,datetime,date,year,month,day,hour
254,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 00:00:00,2017-12-01,2017,12,1,0
204,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 01:00:00,2017-12-01,2017,12,1,1
173,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 02:00:00,2017-12-01,2017,12,1,2
107,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 03:00:00,2017-12-01,2017,12,1,3
78,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 04:00:00,2017-12-01,2017,12,1,4
100,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 05:00:00,2017-12-01,2017,12,1,5
181,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 06:00:00,2017-12-01,2017,12,1,6
460,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 07:00:00,2017-12-01,2017,12,1,7
930,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 08:00:00,2017-12-01,2017,12,1,8
490,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 09:00:00,2017-12-01,2017,12,1,9
339,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 10:00:00,2017-12-01,2017,12,1,10
360,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 11:00:00,2017-12-01,2017,12,1,11
449,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 12:00:00,2017-12-01,2017,12,1,12
451,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 13:00:00,2017-12-01,2017,12,1,13
447,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 14:00:00,2017-12-01,2017,12,1,14
463,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 15:00:00,2017-12-01,2017,12,1,15
484,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 16:00:00,2017-12-01,2017,12,1,16
555,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 17:00:00,2017-12-01,2017,12,1,17
862,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 18:00:00,2017-12-01,2017,12,1,18
600,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 19:00:00,2017-12-01,2017,12,1,19
426,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 20:00:00,2017-12-01,2017,12,1,20
405,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 21:00:00,2017-12-01,2017,12,1,21
398,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 22:00:00,2017-12-01,2017,12,1,22
323,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-01 23:00:00,2017-12-01,2017,12,1,23
328,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 00:00:00,2017-12-02,2017,12,2,0
308,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,2017-12-02 01:00:00,2017-12-02,2017,12,2,1
